	TEAM	GP	AST	APG	TO	TOPG	AST/TO	Season	BLK/PF	PF	BLK	BLKPG	OFF	RPG	REB	ORPG	DRPG	DEF	STL	ST/PF	ST/TO	STPG	2PA	PPG	3PATotal	2P%	3PMTotal	PPS	3PMPG	3PAPG	FG%	2PM	3P%	FTAPG	FTATotal	FT%	FTMPG	FTMTotal
0	Michigan State	33	684	20.7	392	11.9	1.74	2015	0.27	630	170	5.15	407	41.9	1383	12.3	29.6	976	149	0.24	0.38	4.52	1270	80.2	694	.513	302	1.35	9.2	21	.563	652	.435	18.2	599	.728	13.2	436
1	Stephen F. Austin	32	605	18.9	398	12.4	1.52	2015	0.17	660	114	3.56	380	35.3	1130	11.9	23.4	750	290	0.44	0.73	9.06	1224	80.7	691	.549	254	1.35	7.9	22	.550	672	.368	20.4	653	.730	14.9	477
2	UAB	32	591	18.5	400	12.5	1.48	2015	0.35	566	197	6.16	359	38.5	1231	11.2	27.3	872	207	0.37	0.52	6.47	1268	79.0	643	.535	238	1.32	7.4	20	.542	678	.370	19.9	637	.717	14.3	457
3	North Carolina	34	616	18.1	371	10.9	1.66	2015	0.24	609	149	4.38	477	41.0	1393	14.0	26.9	916	234	0.38	0.63	6.88	1604	82.3	583	.539	183	1.28	5.4	17	.521	864	.314	20.7	705	.738	15.3	520
4	Purdue	33	588	17.8	401	12.2	1.47	2015	0.27	570	154	4.67	390	41.2	1361	11.8	29.4	971	141	0.25	0.35	4.27	1237	78.2	688	.531	256	1.34	7.8	21	.541	657	.372	20.4	674	.740	15.1	499
5	Baylor	33	587	17.8	425	12.9	1.38	2015	0.21	636	133	4.03	453	37.4	1234	13.7	23.7	781	260	0.41	0.61	7.88	1379	77.2	556	.507	204	1.32	6.2	17	.519	699	.367	22.3	737	.727	16.2	536
6	SMU	30	528	17.6	372	12.4	1.42	2015	0.29	472	137	4.57	396	39.4	1183	13.2	26.2	787	182	0.39	0.49	6.07	1265	77.3	462	.525	194	1.34	6.5	15	.553	664	.420	19.5	584	.700	13.6	409
7	Evansville	34	595	17.5	426	12.5	1.40	2015	0.24	601	147	4.32	260	35.4	1205	7.6	27.8	945	178	0.30	0.42	5.24	1347	74.3	448	.535	158	1.41	4.6	13	.534	721	.353	24.8	843	.724	17.9	610
8	Belmont	31	532	17.2	438	14.1	1.21	2015	0.13	615	77	2.48	264	34.7	1075	8.5	26.2	811	140	0.23	0.32	4.52	899	82.4	894	.627	324	1.42	10.5	29	.586	564	.362	20.3	629	.722	14.6	454
9	Milwaukee	33	566	17.2	362	11.0	1.56	2015	0.15	562	86	2.61	320	36.2	1194	9.7	26.5	874	149	0.27	0.41	4.52	1085	79.3	842	.528	306	1.36	9.3	26	.536	573	.363	21.8	718	.772	16.8	554
10	Texas A&M;	33	563	17.1	388	11.8	1.45	2015	0.21	594	124	3.76	419	38.8	1282	12.7	26.2	863	230	0.39	0.59	6.97	1228	75.9	722	.507	255	1.28	7.7	22	.516	623	.353	22.2	733	.673	14.9	493
11	UT Arlington	33	561	17.0	448	13.6	1.25	2015	0.13	691	91	2.76	494	43.8	1447	15.0	28.9	953	241	0.35	0.54	7.30	1233	79.6	896	.494	294	1.23	8.9	27	.493	609	.328	23.0	758	.695	16.0	527
12	Portland St	31	527	17.0	390	12.6	1.35	2015	0.19	589	112	3.61	329	35.4	1096	10.6	24.7	767	263	0.45	0.67	8.48	1385	77.7	519	.535	167	1.26	5.4	17	.521	741	.322	20.8	645	.659	13.7	425
13	Pittsburgh	32	541	16.9	374	11.7	1.45	2015	0.21	562	118	3.69	410	38.2	1222	12.8	25.4	812	159	0.28	0.43	4.97	1293	76.0	578	.510	201	1.30	6.3	18	.513	659	.348	21.2	679	.754	16.0	512
14	Iona	32	539	16.8	409	12.8	1.32	2015	0.21	621	132	4.13	339	36.9	1181	10.6	26.3	842	242	0.39	0.59	7.56	1087	79.6	860	.523	320	1.31	10.0	27	.538	568	.372	19.8	633	.712	14.1	451
15	Saint Mary's	32	539	16.8	304	9.5	1.77	2015	0.22	500	111	3.47	289	35.2	1126	9.0	26.2	837	156	0.31	0.51	4.88	1039	74.9	687	.573	284	1.39	8.9	21	.592	595	.413	15.9	509	.697	11.1	355
16	Marshall	33	554	16.8	424	12.8	1.31	2015	0.16	637	103	3.12	341	37.3	1230	10.3	26.9	889	226	0.35	0.53	6.85	1198	86.0	985	.572	332	1.30	10.1	30	.542	685	.337	20.6	681	.693	14.3	472
17	Sam Houston State	33	554	16.8	383	11.6	1.45	2015	0.08	726	56	1.70	371	37.0	1220	11.2	25.7	849	182	0.25	0.48	5.52	1211	75.0	745	.492	255	1.26	7.7	23	.500	596	.342	22.6	747	.692	15.7	517
18	Lipscomb	33	548	16.6	458	13.9	1.20	2015	0.16	628	98	2.97	335	36.4	1202	10.2	26.3	867	208	0.33	0.45	6.30	1096	78.5	921	.508	331	1.28	10.0	28	.522	557	.359	21.1	695	.695	14.6	483
19	Richmond	32	531	16.6	327	10.2	1.62	2015	0.12	610	74	2.31	251	31.9	1021	7.8	24.1	770	210	0.34	0.64	6.56	1174	76.6	674	.554	240	1.33	7.5	21	.547	650	.356	20.3	651	.661	13.4	430
20	Stony Brook	32	531	16.6	365	11.4	1.45	2015	0.29	509	148	4.63	400	39.6	1266	12.5	27.1	866	198	0.39	0.54	6.19	1333	76.8	584	.522	217	1.28	6.8	18	.533	696	.372	19.3	618	.672	13.0	415
21	North Florida	33	547	16.6	362	11.0	1.51	2015	0.32	538	170	5.15	287	34.4	1135	8.7	25.7	848	173	0.32	0.48	5.24	1033	84.8	977	.556	402	1.39	12.2	30	.586	574	.411	18.5	611	.725	13.4	443
22	Iowa State	32	529	16.5	370	11.6	1.43	2015	0.27	496	135	4.22	291	36.1	1154	9.1	27.0	863	197	0.40	0.53	6.16	1293	81.8	697	.567	265	1.32	8.3	22	.568	733	.380	15.8	507	.706	11.2	358
23	BYU	33	545	16.5	383	11.6	1.42	2015	0.22	624	140	4.24	397	41.1	1355	12.0	29.0	958	219	0.35	0.57	6.64	1344	83.6	774	.510	294	1.30	8.9	23	.532	685	.380	22.3	735	.688	15.3	506
24	Northwestern	32	527	16.5	331	10.3	1.59	2015	0.20	605	121	3.78	342	36.4	1166	10.7	25.8	824	124	0.20	0.37	3.88	1084	72.0	776	.516	278	1.24	8.7	24	.525	559	.358	16.5	528	.667	11.0	352
25	Toledo	32	527	16.5	373	11.7	1.41	2015	0.11	551	63	1.97	306	36.3	1161	9.6	26.7	855	167	0.30	0.45	5.22	1159	77.6	722	.519	263	1.32	8.2	23	.530	602	.364	20.5	655	.747	15.3	489
26	Xavier	32	524	16.4	408	12.8	1.28	2015	0.15	645	98	3.06	418	41.0	1312	13.1	27.9	894	234	0.36	0.57	7.31	1266	81.3	672	.500	243	1.34	7.6	21	.515	633	.362	26.0	832	.731	19.0	608
27	Arkansas	32	520	16.3	357	11.2	1.46	2015	0.24	687	165	5.16	374	37.1	1186	11.7	25.4	812	236	0.34	0.66	7.38	1448	78.2	544	.461	216	1.26	6.8	17	.497	667	.397	23.4	748	.694	16.2	519
28	William &amp; Mary	31	501	16.2	331	10.7	1.51	2015	0.26	512	132	4.26	258	36.6	1135	8.3	28.3	877	171	0.33	0.52	5.52	1102	76.9	653	.546	241	1.36	7.8	21	.549	602	.369	20.5	636	.719	14.7	457
29	Marquette	33	533	16.2	485	14.7	1.10	2015	0.22	620	137	4.15	311	35.8	1180	9.4	26.3	869	258	0.42	0.53	7.82	1316	76.3	572	.524	194	1.33	5.9	17	.520	690	.339	23.2	764	.726	16.8	555
30	Villanova	34	549	16.1	378	11.1	1.45	2015	0.19	596	116	3.41	315	35.6	1211	9.3	26.4	896	229	0.38	0.61	6.74	1089	77.0	847	.564	291	1.35	8.6	25	.543	614	.344	19.5	664	.777	15.2	516
31	Iowa	31	496	16.0	323	10.4	1.54	2015	0.30	504	150	4.84	369	38.4	1190	11.9	26.5	821	211	0.42	0.65	6.81	1231	78.1	667	.487	255	1.28	8.2	22	.518	600	.382	20.5	634	.719	14.7	456
32	Indiana	32	511	16.0	437	13.7	1.17	2015	0.22	582	127	3.97	385	37.4	1196	12.0	25.3	811	222	0.38	0.51	6.94	1102	82.3	762	.561	316	1.41	9.9	24	.586	618	.415	19.4	621	.723	14.0	449
33	Kansas	34	542	15.9	428	12.6	1.27	2015	0.22	640	139	4.09	361	37.7	1283	10.6	27.1	922	232	0.36	0.54	6.82	1310	81.6	664	.529	283	1.40	8.3	20	.566	693	.426	22.4	762	.706	15.8	538
34	Eastern Kentucky	31	494	15.9	457	14.7	1.08	2015	0.14	665	95	3.06	274	32.2	999	8.8	23.4	725	218	0.33	0.48	7.03	1107	80.5	653	.547	258	1.42	8.3	21	.564	606	.395	22.6	700	.730	16.5	511
35	Providence	33	525	15.9	380	11.5	1.38	2015	0.21	556	119	3.61	385	36.6	1207	11.7	24.9	822	219	0.39	0.58	6.64	1245	74.0	729	.481	234	1.24	7.1	22	.481	599	.321	22.5	744	.727	16.4	541
36	Bucknell	30	475	15.8	414	13.8	1.15	2015	0.15	641	98	3.27	311	36.7	1101	10.4	26.3	790	197	0.31	0.48	6.57	1117	78.9	608	.519	223	1.37	7.4	20	.530	580	.367	25.1	754	.715	18.0	539
37	Hawai'i	32	504	15.8	423	13.2	1.19	2015	0.19	648	120	3.75	342	37.4	1198	10.7	26.8	856	252	0.39	0.60	7.88	1120	77.6	704	.547	230	1.36	7.2	22	.525	613	.327	26.0	833	.681	17.7	567
38	NJIT	31	488	15.7	402	13.0	1.21	2015	0.12	611	72	2.32	299	34.7	1077	9.6	25.1	778	207	0.34	0.51	6.68	1043	75.5	768	.516	266	1.29	8.6	25	.517	538	.346	20.2	626	.743	15.0	465
39	UCLA	32	502	15.7	392	12.3	1.28	2015	0.18	595	110	3.44	393	39.6	1267	12.3	27.3	874	175	0.29	0.45	5.47	1465	77.5	551	.488	200	1.23	6.3	17	.503	715	.363	20.3	651	.691	14.1	450
40	Cal Poly	30	425	14.2	308	10.3	1.38	2015	0.16	602	95	3.17	351	36.5	1094	11.7	24.8	743	163	0.27	0.53	5.43	1132	72.4	681	.457	238	1.20	7.9	23	.482	517	.349	20.9	626	.676	14.1	423
41	Lamar	30	425	14.2	439	14.6	0.97	2015	0.17	699	116	3.87	415	39.1	1173	13.8	25.3	758	225	0.32	0.51	7.50	1204	75.4	617	.477	197	1.24	6.6	21	.477	574	.319	26.0	781	.671	17.5	524
42	Canisius	33	466	14.1	370	11.2	1.26	2015	0.14	642	88	2.67	393	33.8	1116	11.9	21.9	723	199	0.31	0.54	6.03	1178	76.5	836	.475	285	1.25	8.6	25	.490	560	.341	22.5	744	.741	16.7	551
43	CSU Northridge	30	423	14.1	420	14.0	1.01	2015	0.16	604	96	3.20	303	36.2	1086	10.1	26.1	783	203	0.34	0.48	6.77	1299	71.4	425	.477	126	1.24	4.2	14	.469	619	.296	24.5	735	.717	17.6	527
44	Maryland	33	465	14.1	425	12.9	1.09	2015	0.33	547	178	5.39	304	35.5	1171	9.2	26.3	867	192	0.35	0.45	5.82	1121	76.1	673	.557	252	1.40	7.6	20	.559	624	.374	20.2	666	.760	15.3	506
45	Manhattan	31	436	14.1	442	14.3	0.99	2015	0.11	672	71	2.29	242	29.5	916	7.8	21.7	674	238	0.35	0.54	7.68	1001	68.8	643	.476	232	1.30	7.5	21	.501	476	.361	21.1	655	.740	15.6	485
